frame,a0,a1,a2,a3,a4,a5,a6
0,-0.446930,-0.238229,0.363691,0.997135,0.142154,0.163915,-1.000000
1,-0.410539,-0.218323,0.350011,0.992840,0.134624,0.175920,-1.000000
2,-0.387709,-0.201037,0.340409,0.988050,0.118982,0.184587,-1.000000
3,-0.355480,-0.180634,0.323899,0.986793,0.102243,0.193392,-1.000000
4,-0.327328,-0.163308,0.308643,0.986842,0.094255,0.207238,-1.000000
5,-0.300877,-0.147655,0.292885,0.989678,0.087673,0.217315,-1.000000
6,-0.263854,-0.135677,0.270110,0.992199,0.077749,0.224186,-1.000000
7,-0.237400,-0.123140,0.248397,0.994540,0.074931,0.234982,-1.000000
8,-0.197902,-0.113729,0.218274,0.988477,0.056191,0.251969,-1.000000
9,-0.175569,-0.105774,0.195596,0.992128,0.063489,0.269168,-1.000000
10,-0.145018,-0.101332,0.162665,0.992153,0.068764,0.291062,-1.000000
11,-0.127540,-0.097906,0.136822,0.994932,0.073034,0.311524,-1.000000
12,-0.104567,-0.098004,0.105968,0.992657,0.084564,0.332431,-1.000000
13,-0.089819,-0.100062,0.080650,0.992222,0.095902,0.360296,-1.000000
14,-0.078687,-0.103334,0.058282,0.990316,0.106122,0.383842,-1.000000
15,-0.064529,-0.104536,0.034319,0.991250,0.114759,0.414204,-1.000000
16,-0.051920,-0.103074,0.015257,0.988147,0.117242,0.442149,-1.000000
17,-0.031591,-0.102147,-0.003047,0.981228,0.104389,0.468888,-1.000000
18,-0.021139,-0.098520,-0.016696,0.984213,0.096349,0.492868,-1.000000
19,-0.000885,-0.092052,-0.032375,0.981645,0.086837,0.511559,-1.000000
20,0.018749,-0.086737,-0.043982,0.975573,0.076569,0.518741,-1.000000
21,0.053653,-0.083368,-0.057498,0.965958,0.080939,0.520801,-1.000000
22,0.075098,-0.079298,-0.064889,0.964379,0.075361,0.529101,-1.000000
23,0.098473,-0.075099,-0.071350,0.965389,0.074679,0.539316,-1.000000
24,0.015668,-0.070155,-0.056576,0.966854,0.093676,0.520320,-1.000000
25,0.034395,-0.066993,-0.065018,0.965954,0.093909,0.526566,-1.000000
26,0.047620,-0.064579,-0.072521,0.966218,0.095360,0.529481,-1.000000
