frame,a0,a1,a2,a3,a4,a5,a6
0,-0.360401,0.421695,0.462159,-0.933735,0.188027,0.121981,-1.000000
1,-0.332996,0.422185,0.454526,-0.940909,0.173775,0.104234,-1.000000
2,-0.303944,0.422357,0.450225,-0.941788,0.168948,0.093815,-1.000000
3,-0.277528,0.422112,0.445536,-0.944444,0.159483,0.084884,-1.000000
4,-0.242880,0.423012,0.438261,-0.948721,0.141934,0.072257,-1.000000
5,-0.212236,0.423240,0.431186,-0.953052,0.112579,0.052369,-1.000000
6,-0.168537,0.423939,0.422586,-0.959134,0.098586,0.040434,-1.000000
7,-0.127246,0.424917,0.413135,-0.964749,0.077775,0.025499,-1.000000
8,-0.079550,0.428957,0.402523,-0.969847,0.057945,0.009693,-1.000000
9,-0.037814,0.434044,0.390501,-0.973977,0.045598,0.000177,-1.000000
10,0.007145,0.442200,0.377357,-0.977817,0.034907,-0.007780,-1.000000
11,0.057504,0.450339,0.359245,-0.982254,0.028850,-0.016516,-1.000000
12,0.099775,0.455726,0.343106,-0.986398,0.022224,-0.023884,-1.000000
13,0.146191,0.461221,0.325120,-0.989704,0.018642,-0.033351,-1.000000
14,0.183597,0.464241,0.309677,-0.991833,0.019302,-0.041418,-1.000000
15,0.222568,0.466403,0.293254,-0.994566,0.016904,-0.049569,-1.000000
16,0.267494,0.469192,0.276339,-0.993683,0.010748,-0.060035,-1.000000
17,0.318408,0.470866,0.259616,-0.994777,0.004604,-0.072342,-1.000000
18,0.362833,0.473530,0.247909,-0.994927,-0.001915,-0.084323,-1.000000
19,0.405863,0.474780,0.233878,-0.994915,-0.006052,-0.097287,-1.000000
20,0.454342,0.473846,0.219105,-0.995567,-0.013001,-0.110444,-1.000000
21,0.495905,0.473907,0.204926,-0.992189,-0.024692,-0.123785,-1.000000
22,0.536759,0.473788,0.193544,-0.988832,-0.033205,-0.135564,-1.000000
23,0.579827,0.472753,0.176586,-0.987865,-0.039510,-0.147020,-1.000000
24,0.612328,0.472389,0.164813,-0.986938,-0.044833,-0.157032,-1.000000
25,0.646304,0.471380,0.150974,-0.986257,-0.048133,-0.167677,-1.000000
26,0.680194,0.467882,0.135387,-0.986741,-0.052129,-0.178970,-1.000000
27,0.704781,0.466294,0.123122,-0.987471,-0.057980,-0.188540,-1.000000
28,0.733681,0.461203,0.107522,-0.989531,-0.069988,-0.199421,-1.000000
29,0.755625,0.457288,0.095759,-0.990786,-0.077938,-0.210358,-1.000000
30,0.785069,0.449778,0.079168,-0.988537,-0.088973,-0.225204,-1.000000
31,0.803416,0.445551,0.066110,-0.990682,-0.087761,-0.235142,-1.000000
32,0.828052,0.436025,0.051609,-0.993900,-0.099171,-0.249646,-1.000000
33,0.846051,0.426237,0.034909,-0.994663,-0.101171,-0.263963,-1.000000
34,0.862390,0.414889,0.018907,-0.995389,-0.103588,-0.279571,-1.000000
35,0.874839,0.402748,0.001655,-0.996763,-0.109006,-0.298100,-1.000000
36,0.889411,0.388769,-0.018417,-0.996857,-0.111085,-0.318983,-1.000000
