frame,a0,a1
0,-0.098802,-0.013408
1,0.001975,-0.007546
2,0.179989,0.021410
3,0.132775,0.074051
4,-0.004665,0.260214
5,0.121441,0.290844
6,0.150082,0.086481
7,-0.082712,0.082563
8,-0.044382,0.357642
9,-0.028928,0.362548
10,0.132041,0.235513
11,0.386243,0.150946
12,0.465157,0.047375
13,0.350381,0.025519
14,-0.021230,-0.046130
15,-0.030732,-0.197210
16,-0.041956,-0.386682
17,-0.030321,-0.352395
18,-0.019353,-0.246296
19,-0.049134,-0.085522
20,-0.034704,-0.041550
21,-0.143864,-0.197689
22,-0.074857,-0.062029
23,-0.033339,-0.013418
24,-0.180699,0.014133
25,-0.137231,0.055248
26,-0.187275,0.064565
27,-0.091812,0.177581
28,-0.032357,0.276818
29,-0.008102,0.237541
30,-0.029184,0.086045
31,-0.030590,0.032970
32,-0.028830,-0.102108
33,-0.030779,-0.220823
34,-0.081682,-0.031432
35,-0.320161,-0.016403
36,-0.308609,-0.013206
37,-0.298013,-0.013412
38,-0.312727,0.038600
39,-0.099977,0.257766
