frame,a0,a1
0,0.253063,-0.010123
1,0.944431,-0.022551
2,0.298414,0.054419
3,-0.014179,0.004819
4,0.642422,-0.164091
5,1.000000,0.071764
6,0.470292,0.500296
7,-0.035646,0.321641
8,-0.088298,0.603137
9,-0.196682,0.707131
10,-0.614314,0.478750
11,-0.311178,0.215533
12,-0.031452,0.007042
13,-0.030350,-0.071458
14,-0.152070,-0.565845
15,-0.506278,-0.761041
16,-0.115909,-0.835891
17,-0.135615,-0.860353
18,-0.264260,-0.846052
19,-0.300187,-0.583334
20,-0.644282,0.137762
21,-0.363446,-0.021332
22,-0.284221,-0.083638
23,-0.261677,-0.013319
24,-0.077003,-0.009737
25,-0.136545,-0.013380
26,-0.180515,0.038492
27,-0.020355,0.026299
28,0.229412,-0.016563
29,0.090324,0.169759
30,-0.163753,0.154191
31,-0.248869,-0.011896
32,-0.203896,-0.007770
33,-0.089422,-0.002256
34,-0.162075,-0.007965
35,-0.104255,0.014360
36,-0.165606,0.009929
37,-0.090925,0.059092
38,-0.030629,0.040647
39,-0.027847,0.035582
