frame,a0,a1,a2,a3,a4,a5,a6
0,0.034821,0.077679,-0.000000,0.000000,0.000000,-0.010714,-1.000000
1,0.037500,0.066964,-0.000000,0.000000,0.000000,-0.009643,-1.000000
2,0.037500,0.058929,-0.000000,0.000000,0.000000,-0.011786,-1.000000
3,0.037500,0.045536,-0.000000,0.000000,0.000000,-0.012857,-1.000000
4,0.048214,0.050893,-0.000000,0.000000,0.000000,-0.012857,-1.000000
5,0.109821,0.096429,-0.000000,0.000000,0.000000,-0.010714,-1.000000
6,0.259821,0.219643,-0.000000,-0.004286,0.000000,-0.026786,-1.000000
7,0.407143,0.345536,-0.000000,-0.011786,0.000000,-0.037500,-1.000000
8,0.567857,0.455357,0.034821,-0.024643,0.006429,-0.047143,-1.000000
9,0.583929,0.466071,0.045536,-0.026786,0.007500,-0.046071,-1.000000
10,0.610714,0.482143,0.056250,-0.028929,0.003214,-0.043929,-1.000000
11,0.648214,0.506250,0.058929,-0.022500,0.000000,-0.034286,-1.000000
12,0.675000,0.525000,0.056250,-0.010714,0.000000,-0.028929,-1.000000
13,0.717857,0.551786,0.040179,-0.003214,0.000000,-0.011786,-1.000000
14,0.800893,0.565179,-0.000000,-0.003214,0.012857,-0.000000,-1.000000
15,0.859821,0.559821,-0.000000,-0.008571,0.015000,-0.000000,-1.000000
16,0.918750,0.559821,-0.026786,-0.013929,0.013929,-0.000000,-1.000000
17,0.937500,0.551786,-0.123214,-0.022500,0.000000,-0.000000,-1.000000
18,0.937500,0.554464,-0.184821,-0.034286,0.000000,-0.000000,-1.000000
19,0.937500,0.559821,-0.222321,-0.041786,0.000000,-0.000000,-1.000000
20,0.934821,0.562500,-0.246429,-0.043929,0.000000,-0.000000,-1.000000
21,0.932143,0.567857,-0.289286,-0.046071,0.000000,-0.000000,-1.000000
22,0.932143,0.573214,-0.324107,-0.046071,0.000000,-0.000000,-1.000000
23,0.921429,0.573214,-0.377679,-0.035357,0.000000,-0.000000,-1.000000
24,0.916071,0.573214,-0.425893,-0.021429,0.000000,-0.000000,-1.000000
25,0.902679,0.573214,-0.484821,-0.008571,0.000000,-0.000000,-1.000000
26,0.875893,0.575893,-0.557143,0.000000,0.000000,-0.000000,-1.000000
27,0.811607,0.591964,-0.629464,0.000000,0.000000,-0.000000,-1.000000
28,0.693750,0.616071,-0.709821,0.000000,-0.023571,-0.000000,-1.000000
29,0.567857,0.583929,-0.771429,0.000000,-0.042857,-0.000000,-1.000000
30,0.516964,0.562500,-0.811607,0.000000,-0.043929,-0.000000,-1.000000
31,0.439286,0.535714,-0.873214,0.000000,-0.039643,0.002143,-1.000000
32,0.364286,0.468750,-0.902679,0.000000,-0.037500,0.010714,-1.000000
33,0.246429,0.375000,-0.937500,0.000000,-0.023571,0.019286,-1.000000
34,0.125893,0.273214,-0.937500,0.000000,-0.005357,0.021429,-1.000000
35,0.000000,0.179464,-0.937500,0.000000,0.000000,0.024643,-1.000000
36,-0.032143,0.091071,-0.937500,0.000000,0.000000,0.027857,-1.000000
37,-0.158036,0.042857,-0.937500,0.002143,0.000000,0.026786,-1.000000
38,-0.249107,0.032143,-0.937500,0.000000,0.000000,0.025714,-1.000000
39,-0.318750,0.010714,-0.937500,0.000000,0.000000,0.023571,-1.000000
40,-0.358929,0.040179,-0.937500,0.000000,0.000000,0.024643,-1.000000
41,-0.353571,0.077679,-0.937500,0.000000,0.000000,0.023571,-1.000000
42,-0.308036,0.120536,-0.916071,0.000000,0.000000,0.019286,-1.000000
43,-0.286607,0.115179,-0.900000,0.000000,0.000000,0.017143,-1.000000
44,-0.283929,0.045536,-0.900000,0.000000,0.000000,0.013929,-1.000000
45,-0.302679,0.000000,-0.908036,0.000000,0.000000,-0.000000,-1.000000
46,-0.283929,-0.034821,-0.910714,0.010714,0.000000,-0.000000,-1.000000
47,-0.259821,-0.075000,-0.902679,0.013929,0.013929,-0.000000,-1.000000
