frame,a0,a1,a2,a3,a4,a5,a6
0,-0.045536,0.077679,-0.000000,0.000000,-0.036429,0.051429,-1.000000
1,-0.072321,0.093750,-0.000000,0.000000,-0.038571,0.056786,-1.000000
2,-0.093750,0.107143,-0.000000,0.000000,-0.041786,0.063214,-1.000000
3,-0.101786,0.112500,-0.000000,0.000000,-0.041786,0.068571,-1.000000
4,-0.104464,0.117857,-0.000000,-0.001071,-0.041786,0.069643,-1.000000
5,-0.107143,0.112500,-0.000000,0.000000,-0.043929,0.068571,-1.000000
6,-0.093750,0.109821,-0.000000,0.000000,-0.045000,0.066429,-1.000000
7,-0.056250,0.109821,-0.000000,0.000000,-0.046071,0.062143,-1.000000
8,0.000000,0.128571,-0.000000,0.000000,-0.058929,0.042857,-1.000000
9,0.096429,0.192857,-0.000000,0.000000,-0.054643,0.011786,-1.000000
10,0.286607,0.283929,-0.000000,0.000000,-0.033214,-0.000000,-1.000000
11,0.383036,0.340179,-0.008036,0.000000,-0.013929,-0.000000,-1.000000
12,0.487500,0.358929,-0.026786,-0.005357,0.000000,-0.000000,-1.000000
13,0.567857,0.342857,-0.045536,-0.008571,0.000000,-0.000000,-1.000000
14,0.610714,0.318750,-0.058929,-0.008571,0.000000,-0.007500,-1.000000
15,0.656250,0.305357,-0.077679,-0.007500,0.000000,-0.011786,-1.000000
16,0.709821,0.267857,-0.123214,-0.011786,0.000000,-0.021429,-1.000000
17,0.736607,0.235714,-0.171429,-0.018214,0.000000,-0.028929,-1.000000
18,0.782143,0.192857,-0.227679,-0.020357,0.000000,-0.037500,-1.000000
19,0.803571,0.155357,-0.273214,-0.027857,-0.005357,-0.043929,-1.000000
20,0.798214,0.120536,-0.302679,-0.034286,-0.019286,-0.048214,-1.000000
21,0.790179,0.075000,-0.342857,-0.037500,-0.035357,-0.054643,-1.000000
22,0.768750,0.042857,-0.377679,-0.040714,-0.052500,-0.060000,-1.000000
23,0.728571,0.010714,-0.409821,-0.043929,-0.076071,-0.066429,-1.000000
24,0.696429,0.000000,-0.444643,-0.040714,-0.090000,-0.075000,-1.000000
25,0.680357,0.000000,-0.476786,-0.032143,-0.091071,-0.083571,-1.000000
26,0.666964,0.000000,-0.516964,-0.022500,-0.083571,-0.091071,-1.000000
27,0.661607,-0.010714,-0.554464,-0.015000,-0.075000,-0.097500,-1.000000
28,0.618750,-0.018750,-0.581250,-0.012857,-0.076071,-0.098571,-1.000000
29,0.594643,-0.026786,-0.589286,-0.010714,-0.075000,-0.099643,-1.000000
30,0.546429,-0.018750,-0.610714,-0.007500,-0.071786,-0.091071,-1.000000
31,0.482143,-0.008036,-0.605357,-0.001071,-0.053571,-0.069643,-1.000000
32,0.450000,-0.008036,-0.597321,0.000000,-0.035357,-0.055714,-1.000000
33,0.369643,0.000000,-0.575893,0.000000,-0.015000,-0.038571,-1.000000
34,0.326786,-0.013393,-0.581250,0.000000,-0.005357,-0.030000,-1.000000
35,0.305357,-0.024107,-0.586607,0.000000,0.000000,-0.022500,-1.000000
36,0.275893,-0.016071,-0.594643,0.000000,0.000000,-0.017143,-1.000000
37,0.214286,-0.040179,-0.613393,0.000000,0.000000,-0.013929,-1.000000
38,0.155357,-0.064286,-0.626786,0.000000,0.000000,-0.012857,-1.000000
39,0.091071,-0.093750,-0.637500,0.000000,-0.003214,-0.012857,-1.000000
40,0.000000,-0.133929,-0.648214,0.000000,-0.004286,-0.007500,-1.000000
41,-0.021429,-0.206250,-0.653571,0.000000,-0.002143,-0.001071,-1.000000
42,-0.093750,-0.230357,-0.637500,0.000000,-0.008571,-0.000000,-1.000000
43,-0.093750,-0.241071,-0.591964,0.000000,0.000000,-0.000000,-1.000000
44,-0.058929,-0.241071,-0.562500,0.000000,0.000000,-0.000000,-1.000000
45,-0.040179,-0.241071,-0.549107,0.000000,0.000000,-0.003214,-1.000000
46,-0.013393,-0.246429,-0.511607,0.000000,0.000000,-0.011786,-1.000000
47,0.000000,-0.249107,-0.441964,0.000000,0.000000,-0.027857,-1.000000
