frame,a0,a1,a2,a3,a4,a5,a6
0,0.006978,0.007105,0.239658,-0.010551,-0.084085,0.028531,1.000000
1,-0.153531,-0.005470,0.440183,0.058198,-0.292392,0.045586,1.000000
2,0.079776,0.101010,0.746077,-0.271326,0.145822,0.024035,1.000000
3,0.208996,-0.026358,0.657525,-0.311499,-0.078321,0.082675,1.000000
4,0.266189,-0.164499,0.549251,-0.215601,0.090901,0.226912,1.000000
5,0.170914,-0.037670,0.407597,-0.062966,0.277987,0.064665,1.000000
6,-0.246709,-0.016463,0.781050,0.161604,0.155018,0.038379,1.000000
7,-0.011624,0.126576,0.403572,-0.070557,-0.094644,-0.048476,1.000000
8,-0.213298,0.202194,0.251960,0.035337,-0.356358,-0.098205,1.000000
9,-0.107813,0.155249,0.348897,0.124395,-0.129477,-0.122476,1.000000
10,0.035167,0.053902,0.335435,0.060488,-0.001501,0.001434,-1.000000
11,0.012778,0.003159,0.263735,-0.081998,-0.133509,0.065948,-1.000000
12,-0.040654,-0.015389,0.177724,0.065604,-0.481552,0.164479,-1.000000
13,-0.101006,-0.099197,-0.335202,0.338472,-0.739974,0.010646,-1.000000
14,0.080157,-0.095662,-0.458441,0.270007,-0.511972,0.035740,-1.000000
15,0.195261,-0.023738,-0.364298,0.266233,-0.500316,-0.059895,-1.000000
16,0.557370,0.094783,-0.258010,0.092659,-0.100205,-0.156649,-1.000000
17,0.982479,0.179766,0.359265,0.116061,-0.262416,-0.017895,-1.000000
18,0.873282,0.081742,0.603873,-0.228998,-0.091492,0.034184,-1.000000
19,0.458633,-0.003542,0.693947,-0.279427,0.079078,0.046279,-1.000000
20,0.193879,0.086413,0.489777,-0.212232,0.319392,-0.033218,-1.000000
21,-0.219400,0.181866,0.740181,-0.101097,0.079761,-0.101589,-1.000000
22,-0.020068,0.250029,0.510141,-0.203320,0.303942,0.000847,-1.000000
23,-0.027515,0.052396,0.336536,0.139934,0.005481,0.053591,1.000000
24,-0.301825,-0.091827,0.221769,0.378981,-0.679216,0.045780,1.000000
25,-0.429556,-0.171130,-0.353743,0.316919,-0.910985,0.106697,1.000000
26,-0.216029,-0.160790,-0.458441,0.206062,-0.453334,0.106003,1.000000
27,-0.244328,-0.233165,-0.392502,0.121825,-0.519368,0.311242,1.000000
28,-0.017728,-0.010272,0.198611,-0.024642,-0.091374,0.042013,1.000000
29,-0.007994,0.004401,0.248756,-0.004213,-0.099833,0.029836,1.000000
30,0.005175,-0.016006,0.247182,0.017338,-0.058914,0.045631,1.000000
31,-0.344788,-0.584917,0.201267,0.319294,0.734903,0.232401,1.000000
32,-0.054727,-0.622748,0.319514,0.418253,0.584270,0.208786,1.000000
33,0.030800,-0.397456,0.539281,0.198966,0.300194,0.148733,1.000000
34,-0.030614,-0.226209,0.557817,0.461513,0.305096,-0.073542,1.000000
35,-0.199345,-0.042803,0.477376,0.006414,-0.103479,-0.210354,1.000000
36,-0.275157,0.034068,0.526387,-0.136655,-0.099327,-0.112653,1.000000
37,-0.346482,-0.020009,0.616260,-0.172974,-0.014914,-0.113408,1.000000
38,-0.194849,-0.046592,0.484887,-0.094369,0.075425,-0.103223,1.000000
39,-0.267586,-0.081494,0.476112,-0.092274,-0.046072,-0.034058,1.000000
